INDEX	PLAYER	TEAM	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF	POSITION	YEAR	BB	IBB	HBP	SO	GDP	SLG	OBP	OPS	MH	RISP	PH-BA	XBH	GO	AO	GO/AO	GW/RBI	BB/K	P/PA	ISOP	XR	GPA
1	유선정	넥센	0.252	53	160	135	16	34	6	0	0	40	14	4	3	Catcher	2010	17	0	1	30	4	0.296	0.333	0.629	5	0.3	0	6	41	33	1.24	0	0.57	3.68	0.044	14.9	0.224
2	강귀태	넥센	0.23	97	300	269	24	62	9	0	3	80	34	9	3	Catcher	2010	17	0	2	31	13	0.297	0.278	0.575	12	0.25	0.25	12	95	84	1.13	0	0.55	3.85	0.067	19.4	0.199
3	허준	넥센	0.163	73	57	49	5	8	1	0	0	9	1	3	0	Catcher	2010	4	0	1	15	2	0.184	0.241	0.425	2	0	0.25	1	13	13	1	0	0.27	3.63	0.02	1.2	0.154
4	박동원	넥센	0	7	2	2	0	0	0	0	0	0	0	0	0	Catcher	2010	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	4.5	0	-0.2	0
1	강정호	넥센	0.301	133	522	449	60	135	30	2	12	205	58	3	2	Infielder	2010	61	6	7	87	14	0.457	0.391	0.848	33	0.272	0.5	44	111	118	0.94	0	0.7	3.95	0.156	75.5	0.29
2	이숭용	넥센	0.274	124	374	328	37	90	15	0	2	111	30	5	2	Infielder	2010	36	0	3	37	7	0.338	0.35	0.688	21	0.267	0.429	17	106	97	1.09	0	0.97	3.73	0.064	40.3	0.242
3	김민우	넥센	0.257	128	536	447	64	115	20	3	9	168	44	16	3	Infielder	2010	61	0	9	85	11	0.376	0.356	0.732	27	0.236	1	32	141	109	1.29	0	0.72	4.1	0.119	66	0.254
4	김일경	넥센	0.251	104	220	195	30	49	13	1	4	76	21	12	1	Infielder	2010	8	0	4	42	2	0.39	0.293	0.683	8	0.239	0.143	18	53	52	1.02	0	0.19	3.54	0.138	24.2	0.229
5	권도영	넥센	0.246	37	72	61	7	15	3	0	0	18	4	4	0	Infielder	2010	7	0	0	15	1	0.295	0.324	0.619	1	0.235	0.286	3	20	11	1.82	0	0.47	4.01	0.049	5.8	0.22
6	장영석	넥센	0.232	64	163	138	16	32	6	0	5	53	19	3	1	Infielder	2010	12	1	9	45	3	0.384	0.331	0.715	7	0.265	0.167	11	31	31	1	0	0.27	3.78	0.152	18.6	0.245
7	조중근	넥센	0.207	21	31	29	2	6	0	0	0	6	3	0	0	Infielder	2010	2	1	0	6	1	0.207	0.258	0.465	0	0.2	0.1	0	13	4	3.25	0	0.33	3.84	0	1.1	0.168
8	김민성	넥센	0.2	80	223	180	26	36	4	0	2	46	12	13	1	Infielder	2010	18	1	11	41	6	0.256	0.31	0.566	7	0.179	0.6	6	56	48	1.17	0	0.44	3.74	0.056	16.1	0.204
9	이창섭	넥센	0.167	8	12	12	1	2	0	0	0	2	0	0	0	Infielder	2010	0	0	0	6	0	0.167	0.167	0.334	0	0	0	0	4	0	-	0	0	3.75	0	0.1	0.117
10	오재일	넥센	0.133	39	67	60	1	8	4	0	1	15	9	2	0	Infielder	2010	4	0	1	16	6	0.25	0.2	0.45	0	0.2	0.25	5	17	19	0.89	0	0.25	3.43	0.117	0.6	0.153
11	김지수	넥센	0	8	6	5	1	0	0	0	0	0	0	0	0	Infielder	2010	1	0	0	0	2	0	0.167	0.167	0	0	0	0	2	3	0.67	0	-	4	0	-0.9	0.075
11	장종덕	넥센	0	2	3	3	0	0	0	0	0	0	0	0	0	Infielder	2010	0	0	0	3	0	0	0	0	0	0	0	0	0	0	-	0	0	5.33	0	-0.3	0
1	강병우	넥센	0.5	11	2	2	2	1	0	0	0	1	0	0	0	Outfielder	2010	0	0	0	0	0	0.5	0.5	1	0	0	0	0	0	1	0	0	-	2.5	0	0.1	0.35
2	유한준	넥센	0.291	131	543	481	52	140	27	0	9	194	79	8	4	Outfielder	2010	49	0	1	81	17	0.403	0.355	0.758	33	0.384	0.5	36	148	116	1.28	0	0.6	3.8	0.112	65.3	0.261
3	송지만	넥센	0.291	127	432	375	52	109	15	1	17	177	63	2	6	Outfielder	2010	41	4	8	85	5	0.472	0.367	0.839	25	0.248	0.182	33	95	92	1.03	0	0.48	3.55	0.181	66.7	0.283
4	강병식	넥센	0.287	107	300	251	32	72	9	1	9	110	30	1	3	Outfielder	2010	34	2	11	51	5	0.438	0.391	0.829	18	0.216	0.185	19	74	57	1.3	0	0.67	4.11	0.151	44.6	0.285
5	장기영	넥센	0.283	119	493	435	60	123	16	10	1	162	47	12	4	Outfielder	2010	41	0	1	74	6	0.372	0.343	0.715	34	0.314	0	27	156	86	1.81	0	0.55	3.76	0.09	59.6	0.247
6	클락	넥센	0.265	92	397	347	58	92	16	2	12	148	50	0	6	Outfielder	2010	43	2	1	72	9	0.427	0.343	0.77	24	0.268	0	30	115	74	1.55	0	0.6	3.94	0.161	51.9	0.261
