순위	player	team	avg	g	pa	ab	r	h	2b	3b	hr	tb	rbi	sac	sf	year	position	bb	ibb	hbp	so	gdp	slg	obp	ops	mh	risp	ph-ba	xbh	go	ao	go/ao	gw/rbi	bb/k	p/pa	isop	xr	gpa	pk
1	채상병	삼성	0.355	17	34	31	5	11	2	0	1	16	5	0	1	2010	catcher	1	0	1	6	0	0.516	0.382	0.898	4	0.364	0.333	3	6	9	0.67	0	0.17	3.47	0.161	6.1	0.301	2010_채상병
2	변용선	롯데	0.333	3	3	3	1	1	0	0	0	1	1	0	0	2010	catcher	0	0	0	1	0	0.333	0.333	0.666	0	0.5	0.5	0	1	0	-	0	0	2.67	0	0.3	0.233	2010_변용선
3	정상호	SK	0.323	35	66	62	14	20	4	0	6	42	14	0	0	2010	catcher	2	0	2	19	2	0.677	0.364	1.041	6	0.313	0.111	10	11	12	0.92	0	0.11	3.26	0.355	13.2	0.333	2010_정상호
4	조인성	LG	0.317	133	511	457	69	145	24	1	28	255	107	5	5	2010	catcher	41	8	3	83	19	0.558	0.374	0.932	42	0.355	0	53	94	140	0.67	0	0.49	3.51	0.241	85.5	0.308	2010_조인성
5	강민호	롯데	0.305	117	465	410	66	125	19	1	23	215	72	0	5	2010	catcher	42	1	8	65	16	0.524	0.376	0.9	33	0.366	0	43	102	123	0.83	0	0.65	3.82	0.22	73.6	0.3	2010_강민호
6	윤상균	LG	0.294	46	57	51	4	15	0	0	0	15	9	1	1	2010	catcher	2	0	2	16	0	0.294	0.339	0.633	1	0.286	0.323	0	12	9	1.33	0	0.13	4.33	0	6.1	0.226	2010_윤상균
7	이도형	한화	0.291	27	96	86	8	25	2	0	4	39	13	0	1	2010	catcher	7	0	2	11	0	0.453	0.354	0.807	7	0.333	0	6	25	26	0.96	0	0.64	3.9	0.163	14.6	0.273	2010_이도형
8	양의지	두산	0.267	127	430	374	48	100	14	1	20	176	68	5	3	2010	catcher	40	1	8	68	12	0.471	0.348	0.819	27	0.292	0	35	107	102	1.05	0	0.59	3.74	0.203	60.7	0.274	2010_양의지
9	진갑용	삼성	0.263	100	320	259	36	68	8	0	10	106	28	13	1	2010	catcher	45	2	2	57	7	0.409	0.375	0.784	19	0.187	0	18	69	66	1.05	0	0.79	3.99	0.147	41.6	0.271	2010_진갑용
10	이성열	두산	0.263	129	484	419	77	110	27	1	24	211	86	9	3	2010	catcher	40	0	13	136	6	0.504	0.343	0.847	29	0.273	0	52	81	95	0.85	0	0.29	3.89	0.241	72.5	0.28	2010_이성열
11	박경완	SK	0.262	129	472	381	51	100	20	0	14	162	67	15	3	2010	catcher	46	2	27	88	11	0.425	0.379	0.804	23	0.279	0	34	95	101	0.94	0	0.52	3.93	0.163	63.7	0.277	2010_박경완
12	이정식	삼성	0.258	50	104	93	12	24	3	0	1	30	7	5	0	2010	catcher	6	0	0	22	4	0.323	0.303	0.626	4	0.115	0.25	4	34	13	2.62	0	0.27	3.86	0.065	8.3	0.217	2010_이정식
13	차일목	KIA	0.258	91	250	198	30	51	11	0	7	83	35	4	3	2010	catcher	39	1	6	53	8	0.419	0.39	0.809	13	0.294	0.167	18	49	48	1.02	0	0.74	4.12	0.162	34.2	0.28	2010_차일목
14	이재원	SK	0.257	54	79	70	8	18	5	0	1	26	7	1	1	2010	catcher	5	2	2	8	4	0.371	0.321	0.692	4	0.136	0.278	6	24	21	1.14	0	0.63	3.54	0.114	7.4	0.237	2010_이재원
15	김태군	LG	0.255	50	57	51	2	13	1	0	0	14	6	3	0	2010	catcher	2	0	1	9	1	0.275	0.296	0.571	2	0.353	0	1	18	11	1.64	0	0.22	3.51	0.02	4	0.202	2010_김태군
16	유선정	넥센	0.252	53	160	135	16	34	6	0	0	40	14	4	3	2010	catcher	17	0	1	30	4	0.296	0.333	0.629	5	0.3	0	6	41	33	1.24	0	0.57	3.68	0.044	14.9	0.224	2010_유선정
17	이성우	KIA	0.25	10	16	16	2	4	0	0	0	4	0	0	0	2010	catcher	0	0	0	3	0	0.25	0.25	0.5	1	0	0	0	1	8	0.13	0	0	3.88	0	0.9	0.175	2010_이성우
17	최승환	두산	0.25	42	49	44	5	11	2	0	0	13	5	1	1	2010	catcher	3	0	0	8	1	0.295	0.292	0.587	1	0.273	0	2	14	12	1.17	0	0.38	3.37	0.045	4	0.205	2010_최승환
19	신경현	한화	0.249	119	292	253	29	63	13	0	10	106	40	9	3	2010	catcher	27	1	0	54	10	0.419	0.318	0.737	10	0.244	0.083	23	89	50	1.78	0	0.5	3.94	0.17	32.6	0.248	2010_신경현
20	김상훈	KIA	0.243	107	354	300	25	73	11	0	4	96	39	14	2	2010	catcher	34	0	4	43	11	0.32	0.326	0.646	17	0.255	0.4	15	107	79	1.35	0	0.79	3.86	0.077	31.6	0.227	2010_김상훈
21	강귀태	넥센	0.23	97	300	269	24	62	9	0	3	80	34	9	3	2010	catcher	17	0	2	31	13	0.297	0.278	0.575	12	0.25	0.25	12	95	84	1.13	0	0.55	3.85	0.067	19.4	0.199	2010_강귀태
22	현재윤	삼성	0.192	53	92	78	4	15	1	0	1	19	7	3	0	2010	catcher	10	1	1	14	2	0.244	0.292	0.536	2	0.208	0	2	24	25	0.96	0	0.71	3.7	0.051	5.8	0.192	2010_현재윤
23	박노민	한화	0.189	21	39	37	3	7	3	0	1	13	2	0	0	2010	catcher	1	0	1	16	1	0.351	0.231	0.582	2	0	0	4	10	4	2.5	0	0.06	4.1	0.162	2.6	0.192	2010_박노민
24	이희근	한화	0.184	82	158	136	14	25	1	0	0	26	12	5	1	2010	catcher	10	0	6	33	6	0.191	0.268	0.459	4	0.263	0	1	48	31	1.55	0	0.3	3.82	0.007	6	0.168	2010_이희근
25	장성우	롯데	0.18	61	108	100	5	18	4	0	1	25	7	2	0	2010	catcher	6	0	0	27	0	0.25	0.226	0.476	3	0.222	0.125	5	23	32	0.72	0	0.22	3.82	0.07	5	0.164	2010_장성우
